Timestamp,Age,Primary streaming service,Hours per day,While working,Instrumentalist,Composer,Fav genre,Exploratory,Foreign languages,BPM,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects,Permissions
8/27/2022 19:29:02,18,Spotify,3,1.0,1.0,1.0,Latin,1.0,1.0,156,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,3.0,2.0,3.0,0.0,2.0,3,0,1,0,,I understand.
8/27/2022 19:57:31,63,Pandora,1.5,1.0,0.0,0.0,Rock,1.0,0.0,119,2.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,1.0,7,2,2,1,,I understand.
8/27/2022 21:28:18,18,Spotify,4,0.0,0.0,0.0,Video game music,0.0,1.0,132,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0,7,7,10,2,1.0,I understand.
8/27/2022 21:40:40,61,YouTube Music,2.5,1.0,0.0,1.0,Jazz,1.0,1.0,84,2.0,0.0,0.0,1.0,2.0,0.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,9,7,3,3,2.0,I understand.
8/27/2022 21:54:47,18,Spotify,4,1.0,0.0,0.0,R&B,1.0,0.0,107,0.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,2.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,7,2,5,9,2.0,I understand.
8/27/2022 21:56:50,18,Spotify,5,1.0,1.0,1.0,Jazz,1.0,1.0,86,1.0,2.0,0.0,0.0,0.0,2.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,0.0,8,8,7,7,2.0,I understand.
8/27/2022 22:00:29,18,YouTube Music,3,1.0,1.0,0.0,Video game music,1.0,1.0,66,2.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,4,8,6,0,2.0,I understand.
8/27/2022 22:18:59,21,Spotify,1,1.0,0.0,0.0,K pop,1.0,1.0,95,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,5,3,5,3,2.0,I understand.
8/27/2022 22:33:05,19,Spotify,6,1.0,0.0,0.0,Rock,0.0,0.0,94,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2,0,0,0,2.0,I understand.
8/27/2022 22:44:03,18,I do 0.0t use a streaming service.,1,1.0,0.0,0.0,R&B,1.0,1.0,155,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,2,2,5,1,2.0,I understand.
8/27/2022 22:51:15,18,Spotify,3,1.0,1.0,0.0,Country,1.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7,7,4,7,1.0,I understand.
8/27/2022 23:00:32,19,YouTube Music,8,1.0,0.0,0.0,EDM,1.0,0.0,125,1.0,0.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1,0,0,1,2.0,I understand.
8/27/2022 23:04:00,,Spotify,3,1.0,0.0,0.0,Hip hop,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,0.0,9,3,2,7,2.0,I understand.
8/27/2022 23:12:03,19,Spotify,2,1.0,0.0,0.0,Country,1.0,0.0,88,0.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,2,1,2,0,2.0,I understand.
