hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
"[32, 16]",4,relu,0.186542,0.6282,0.6746,0.4726,29.73
"[32, 16]",4,tanh,0.17722,0.6296,0.6704,0.4696,30.16
"[32, 16]",32,relu,5.5e-05,0.6997,0.7277,0.4925,13.39
"[64, 32]",16,relu,0.000106,0.6736,0.704,0.4933,18.68
"[32, 16]",8,relu,0.064668,0.6554,0.6945,0.464,30.5
"[32, 16]",32,tanh,0.000569,0.686,0.7191,0.5013,27.48
"[64, 32]",16,tanh,0.00047,0.7147,0.738,0.4817,28.01
"[64, 32]",32,relu,5.5e-05,0.6914,0.7197,0.4891,12.07
"[64, 32]",4,relu,0.129782,0.597,0.6481,0.4824,32.22
"[32, 16]",8,tanh,0.052014,0.69,0.7175,0.4688,30.9
"[64, 32]",32,tanh,0.000753,0.6714,0.7072,0.4667,17.96
"[128, 64]",8,relu,0.035051,0.6913,0.7211,0.4557,35.18
"[64, 32]",4,tanh,0.160331,0.6264,0.6732,0.461,33.13
"[32, 16]",16,relu,0.003761,0.6856,0.7153,0.4683,31.01
"[32, 16]",16,tanh,0.000859,0.7074,0.7326,0.4813,21.08
"[128, 64]",8,tanh,0.031153,0.654,0.6899,0.4863,35.15
"[64, 32]",8,relu,0.032064,0.6567,0.6924,0.4596,32.87
"[128, 64]",4,relu,0.13581,0.6279,0.6769,0.4821,34.85
"[128, 64]",16,relu,0.000161,0.6863,0.7167,0.4706,19.44
"[128, 64]",16,tanh,0.000857,0.6875,0.7177,0.4733,15.84
"[128, 64]",4,tanh,0.110832,0.6254,0.6756,0.4725,35.04
"[32, 16, 8]",4,relu,0.170133,0.6108,0.6646,0.4746,32.97
"[64, 32]",8,tanh,0.042102,0.6675,0.7006,0.4751,33.0
"[128, 64]",32,relu,7.2e-05,0.6686,0.7017,0.4895,14.33
[32],4,relu,0.22192,0.6607,0.7032,0.4849,28.57
"[128, 64]",32,tanh,0.000471,0.7018,0.7288,0.4806,30.05
[32],32,relu,2.2e-05,0.6767,0.707,0.4954,12.79
"[32, 16, 8]",4,tanh,0.197876,0.6061,0.6612,0.451,32.95
[32],32,tanh,0.000418,0.6755,0.7079,0.4766,29.91
[32],4,tanh,0.236064,0.6302,0.6769,0.4829,28.74
"[32, 16, 8]",32,relu,0.182474,0.6425,0.6844,0.4757,32.88
"[32, 16, 8]",8,relu,0.084465,0.6677,0.702,0.4579,34.06
[64],4,relu,0.17007,0.593,0.6631,0.4796,29.64
[32],8,relu,0.055651,0.6697,0.7036,0.4628,29.78
"[32, 16, 8]",8,tanh,0.058527,0.6736,0.7073,0.4673,27.92
[32],8,tanh,0.058158,0.6594,0.6971,0.4672,29.17
"[32, 16, 8]",32,tanh,0.061618,0.6643,0.7016,0.4652,34.35
[64],4,tanh,0.203879,0.5828,0.6517,0.4627,31.14
[32],16,relu,1.8e-05,0.6905,0.7199,0.4867,13.07
"[32, 16, 8]",16,relu,0.078291,0.6666,0.7054,0.4654,33.44
[32],16,tanh,0.000635,0.6946,0.7237,0.4686,27.88
"[64, 32, 16]",4,relu,0.127778,0.6325,0.6781,0.4695,34.46
[64],8,relu,0.052362,0.6604,0.6951,0.4573,28.28
"[32, 16, 8]",16,tanh,0.055096,0.6655,0.699,0.4618,32.34
[64],16,relu,8e-06,0.7093,0.7342,0.488,21.61
"[64, 32, 16]",4,tanh,0.150937,0.641,0.683,0.4661,35.5
[64],16,tanh,0.000442,0.6783,0.7078,0.4754,29.39
[64],8,tanh,0.048417,0.6518,0.6927,0.4895,29.8
[128],8,relu,0.035324,0.6436,0.6873,0.4701,30.89
[64],32,relu,1.6e-05,0.7091,0.7358,0.4778,14.53
"[64, 32, 16]",8,relu,0.042589,0.6622,0.6987,0.4603,33.8
[64],32,tanh,0.000338,0.6926,0.7216,0.4869,28.7
