hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,6e-06,0.7891,0.8191,0.4565,74.64
[32],32,relu,5e-06,0.807,0.8265,0.4426,140.24
[32],4,relu,0.169042,0.8092,0.823,0.3714,261.97
[64],16,tanh,0.000505,0.8036,0.8261,0.4407,85.66
[128],8,relu,0.023324,0.8052,0.825,0.4415,295.66
[64],32,relu,1.5e-05,0.7825,0.8155,0.4761,67.01
[32],4,tanh,0.337734,0.6795,0.7455,0.3969,64.12
[32],32,tanh,0.000247,0.7976,0.8223,0.4421,152.68
[128],8,tanh,0.04761,0.8015,0.8224,0.4073,230.34
[64],32,tanh,0.000428,0.81,0.8284,0.4403,76.36
[32],8,relu,0.045964,0.784,0.8135,0.4466,255.6
[64],4,relu,0.198288,0.7759,0.8028,0.3902,206.43
[128],16,relu,1e-05,0.7722,0.8101,0.4624,109.07
[128],4,relu,0.281526,0.7368,0.7805,0.3831,70.04
[64],4,tanh,0.227788,0.7982,0.814,0.3691,113.64
[128],16,tanh,0.000291,0.8089,0.8288,0.4421,182.41
[32],8,tanh,0.059888,0.7876,0.8136,0.4076,265.73
[128],4,tanh,0.168602,0.8196,0.827,0.3685,278.57
[64],8,relu,0.031735,0.814,0.8285,0.4205,273.92
[128],32,relu,1e-05,0.7738,0.8107,0.4697,97.97
[32],16,relu,6e-06,0.7902,0.8194,0.436,85.14
"[32, 16]",4,relu,0.169795,0.7705,0.8024,0.4068,223.63
[64],8,tanh,0.049926,0.8197,0.8292,0.4185,274.28
[128],32,tanh,0.000266,0.7858,0.8171,0.4572,180.03
"[32, 16]",4,tanh,0.158297,0.5681,0.6711,0.4539,299.43
[32],16,tanh,0.000252,0.7737,0.8112,0.4676,180.2
"[32, 16]",32,relu,1.4e-05,0.7893,0.8191,0.4514,177.55
"[64, 32]",16,relu,0.001069,0.8161,0.8311,0.4532,358.03
"[128, 64]",8,relu,0.014956,0.8198,0.8324,0.4269,379.09
"[32, 16]",8,relu,0.03873,0.8067,0.8253,0.4363,141.06
"[32, 16]",32,tanh,0.000414,0.795,0.8218,0.4412,182.49
"[128, 64]",8,tanh,0.021594,0.8053,0.8256,0.4298,326.18
"[32, 16]",8,tanh,0.038304,0.8079,0.8259,0.4189,294.82
"[64, 32]",16,tanh,0.000482,0.7807,0.8145,0.4711,151.49
"[64, 32]",4,relu,0.143652,0.6728,0.7424,0.4158,152.87
"[128, 64]",16,relu,4.3e-05,0.7766,0.8124,0.4588,154.69
"[32, 16]",16,relu,0.002406,0.8036,0.8256,0.461,153.47
"[64, 32]",32,relu,2.3e-05,0.7837,0.8164,0.4622,108.38
"[64, 32]",4,tanh,0.176338,0.5778,0.674,0.4237,160.33
"[128, 64]",16,tanh,0.000607,0.7903,0.819,0.4537,132.05
"[32, 16]",16,tanh,0.000566,0.7771,0.8126,0.45,161.3
"[64, 32]",32,tanh,0.000431,0.768,0.8082,0.4625,232.07
"[64, 32]",8,relu,0.02081,0.7865,0.8167,0.4595,268.43
"[32, 16, 8]",4,relu,0.155722,0.8343,0.8348,0.3655,248.97
"[128, 64]",32,relu,1.6e-05,0.8015,0.8247,0.4606,167.59
"[128, 64]",4,relu,0.115184,0.734,0.7815,0.4055,312.1
"[64, 32]",8,tanh,0.024303,0.8235,0.8321,0.419,360.34
"[32, 16, 8]",4,tanh,0.16073,0.589,0.6854,0.4281,254.27
"[128, 64]",32,tanh,0.00061,0.779,0.8141,0.4609,197.61
"[128, 64]",4,tanh,0.127221,0.6497,0.7294,0.4282,263.02
"[32, 16, 8]",32,relu,0.10283,0.7982,0.8183,0.4115,269.3
"[32, 16, 8]",8,relu,0.087209,0.7998,0.8212,0.4216,263.48
"[64, 32, 16]",16,relu,5e-05,0.7893,0.8189,0.4656,145.85
"[128, 64, 32]",8,relu,0.038396,0.7772,0.8089,0.4339,140.19
"[64, 32, 16]",16,tanh,0.000584,0.8088,0.8287,0.4271,202.25
"[32, 16, 8]",8,tanh,0.039245,0.8006,0.8224,0.4286,256.66
"[32, 16, 8]",32,tanh,0.032097,0.8094,0.8258,0.4321,316.12
"[128, 64, 32]",8,tanh,0.023332,0.7974,0.8207,0.4198,326.27
"[32, 16, 8]",16,relu,0.035428,0.8348,0.8378,0.405,232.98
"[64, 32, 16]",4,relu,0.256551,0.5095,0.6315,0.4634,80.17
"[64, 32, 16]",32,relu,8.9e-05,0.7997,0.8236,0.4491,130.74
"[128, 64, 32]",16,relu,0.000442,0.7789,0.8141,0.4782,316.71
"[32, 16, 8]",16,tanh,0.061239,0.7933,0.8181,0.4439,123.05
"[64, 32, 16]",32,tanh,0.000858,0.8153,0.8296,0.4354,150.51
"[64, 32, 16]",4,tanh,0.122019,0.6272,0.71,0.4406,259.29
"[128, 64, 32]",16,tanh,0.000956,0.7963,0.8225,0.4419,115.45
"[128, 64, 32]",4,relu,0.140436,0.741,0.7837,0.3919,342.96
"[128, 64, 32]",32,relu,0.000264,0.7847,0.8167,0.4752,130.4
"[64, 32, 16]",8,relu,0.058053,0.8103,0.8254,0.4045,376.62
"[128, 64, 32]",4,tanh,0.125641,0.655,0.7319,0.4084,244.28
"[128, 64, 32]",32,tanh,0.001278,0.7892,0.8183,0.4511,153.03
"[64, 32, 16]",8,tanh,0.02719,0.7936,0.8189,0.4342,317.04
