hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,4e-06,0.8015,0.8245,0.4569,189.33
[32],4,relu,0.216522,0.7588,0.7909,0.3573,261.43
[128],8,relu,0.022335,0.8042,0.8251,0.44,308.9
[32],32,relu,8e-06,0.7739,0.811,0.4631,101.31
[64],16,tanh,0.000222,0.7915,0.8204,0.4663,192.58
[32],4,tanh,0.186201,0.8494,0.8375,0.3424,262.25
[32],32,tanh,0.000307,0.7689,0.8082,0.4637,159.37
[128],8,tanh,0.027454,0.798,0.8218,0.4268,299.24
[64],32,relu,1.3e-05,0.7957,0.82,0.467,57.27
[128],16,relu,7e-06,0.7796,0.8142,0.4687,80.47
[64],4,relu,0.185648,0.811,0.8232,0.3976,224.52
[32],8,relu,0.03769,0.7895,0.817,0.4472,208.05
[64],4,tanh,0.225048,0.7939,0.8115,0.3717,116.16
[128],16,tanh,0.000277,0.7752,0.812,0.4607,241.86
[64],32,tanh,0.000268,0.8273,0.832,0.4371,164.7
[32],8,tanh,0.050372,0.7922,0.8169,0.4373,260.43
[128],4,relu,0.205625,0.6404,0.7245,0.4159,184.93
[64],8,relu,0.025521,0.8035,0.8228,0.4301,278.12
[128],32,relu,5e-06,0.805,0.8259,0.4264,122.43
[32],16,relu,6e-06,0.7843,0.8162,0.4515,92.25
[128],4,tanh,0.189713,0.7627,0.797,0.3965,295.84
[64],8,tanh,0.036123,0.8152,0.8276,0.4194,294.01
[128],32,tanh,0.000376,0.7868,0.8174,0.4458,91.57
[32],16,tanh,0.000451,0.7985,0.8239,0.4485,152.82
[64],16,relu,6e-06,0.6082,0.6234,0.2795,120.55
[32],32,relu,1.4e-05,0.6479,0.6382,0.2514,97.48
[32],4,relu,0.17814,0.6435,0.6257,0.2339,240.25
[128],8,relu,0.023285,0.612,0.6218,0.2654,291.98
[64],16,tanh,0.000332,0.6163,0.6261,0.2748,155.51
[32],32,tanh,0.000332,0.6104,0.625,0.2813,126.68
[64],32,relu,4e-06,0.574,0.6048,0.3128,103.81
[32],4,tanh,0.214119,0.4833,0.5417,0.2753,226.21
[64],4,relu,0.178253,0.6171,0.6107,0.2336,139.1
[128],8,tanh,0.045341,0.6141,0.6213,0.2524,297.24
[64],32,tanh,0.000404,0.6395,0.639,0.2558,88.34
[32],8,relu,0.05605,0.6382,0.6222,0.2509,269.24
[128],16,relu,9e-06,0.6412,0.6372,0.2666,94.93
[64],4,tanh,0.19252,0.5903,0.5977,0.2375,242.47
[128],4,relu,0.16899,0.5262,0.5554,0.245,259.52
[32],8,tanh,0.040187,0.6458,0.6319,0.2897,264.17
[128],16,tanh,0.000233,0.629,0.6338,0.2934,240.18
[64],8,relu,0.033084,0.6106,0.6186,0.2864,265.48
[128],32,relu,7e-06,0.6163,0.6297,0.2709,128.81
[128],4,tanh,0.196131,0.5809,0.5913,0.2389,262.34
[32],16,relu,5e-06,0.62,0.6305,0.2747,125.29
[32],16,tanh,0.000282,0.6315,0.6348,0.2696,230.54
