hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,2e-05,0.5096,0.498,0.5126,12.57
[32],32,relu,2.5e-05,0.5117,0.4993,0.515,10.9
[64],16,relu,1e-05,0.5077,0.4976,0.5107,23.28
[32],4,relu,1e-06,0.5094,0.4975,0.5126,23.75
[128],8,tanh,0.000319,0.5111,0.4966,0.5147,21.46
[32],32,tanh,8.4e-05,0.5103,0.4993,0.5135,21.86
[64],16,tanh,0.000324,0.5096,0.4994,0.5124,13.42
[32],4,tanh,0.000255,0.5129,0.499,0.5157,18.81
[128],16,relu,1.9e-05,0.5111,0.4962,0.5135,17.18
[64],32,relu,1.3e-05,0.5112,0.4952,0.5146,19.79
[32],8,relu,5e-06,0.5108,0.4999,0.5136,18.15
[64],4,relu,2e-06,0.512,0.4988,0.5147,31.15
[128],16,tanh,8.1e-05,0.5084,0.4949,0.5113,25.77
[64],32,tanh,0.000168,0.5121,0.5004,0.5154,19.77
[64],4,tanh,0.000352,0.5127,0.5017,0.5157,13.17
[32],8,tanh,0.000135,0.5098,0.4954,0.5135,23.73
[128],32,relu,1.8e-05,0.5124,0.5002,0.5156,25.39
[128],4,relu,9e-06,0.511,0.4991,0.5141,18.61
[64],8,relu,4e-06,0.5127,0.5,0.5157,26.3
[32],16,relu,3e-06,0.5129,0.4982,0.5156,29.11
[128],4,tanh,0.000425,0.51,0.4984,0.5131,15.24
[128],32,tanh,0.000216,0.5112,0.5003,0.5144,19.75
[64],8,tanh,0.000164,0.5087,0.4998,0.5109,19.72
[32],16,tanh,0.000111,0.5138,0.5028,0.5169,23.44
"[32, 16]",4,relu,7e-06,0.5076,0.4936,0.511,30.82
"[128, 64]",8,relu,8.5e-05,0.512,0.5002,0.5149,8.09
"[64, 32]",16,relu,2.4e-05,0.5103,0.4987,0.5134,16.78
"[32, 16]",4,tanh,0.000334,0.5119,0.4996,0.5147,21.55
"[128, 64]",8,tanh,0.000577,0.5104,0.5014,0.5127,22.07
"[32, 16]",32,relu,1e-05,0.5137,0.5015,0.5165,28.97
"[32, 16]",8,relu,7.3e-05,0.5072,0.4956,0.5103,15.96
"[64, 32]",16,tanh,0.000286,0.5096,0.4978,0.5128,24.04
"[32, 16]",32,tanh,0.000237,0.5102,0.497,0.5126,25.06
"[128, 64]",16,relu,3.2e-05,0.5131,0.5026,0.5157,19.72
"[32, 16]",8,tanh,0.00021,0.5094,0.4985,0.5121,24.87
"[64, 32]",4,relu,3e-05,0.5117,0.4986,0.5144,22.65
"[128, 64]",16,tanh,0.000333,0.5103,0.4987,0.5134,19.04
"[64, 32]",32,relu,3.2e-05,0.5096,0.4983,0.5126,27.8
"[64, 32]",4,tanh,0.000576,0.5098,0.4973,0.513,16.66
"[128, 64]",32,relu,7.6e-05,0.5105,0.4978,0.5138,12.3
"[32, 16]",16,relu,1.4e-05,0.5085,0.4965,0.5117,28.21
"[64, 32]",32,tanh,0.000246,0.5106,0.4989,0.5137,18.01
"[32, 16]",16,tanh,0.000481,0.5115,0.4978,0.5142,13.3
"[64, 32]",8,relu,3.5e-05,0.5088,0.4967,0.5115,16.82
"[128, 64]",32,tanh,0.000315,0.5108,0.4996,0.5139,18.36
"[128, 64]",4,relu,4.7e-05,0.5094,0.4923,0.5123,12.46
"[64, 32]",8,tanh,0.000208,0.5087,0.4997,0.5109,23.18
"[128, 64]",4,tanh,0.000606,0.5087,0.4974,0.5119,21.13
"[32, 16, 8]",4,relu,5.5e-05,0.5072,0.4925,0.5099,14.05
"[32, 16, 8]",4,tanh,0.000493,0.5125,0.4991,0.5153,19.29
"[64, 32, 16]",16,relu,4.1e-05,0.512,0.4996,0.515,19.58
"[128, 64, 32]",8,relu,3e-05,0.5122,0.4998,0.515,15.93
"[32, 16, 8]",8,relu,1.3e-05,0.5089,0.4966,0.5121,26.09
"[32, 16, 8]",32,relu,2.8e-05,0.5119,0.4962,0.5152,29.1
"[64, 32, 16]",16,tanh,0.000314,0.5104,0.499,0.5133,21.45
"[128, 64, 32]",8,tanh,0.000277,0.5106,0.4993,0.5132,21.19
"[32, 16, 8]",8,tanh,0.000156,0.5125,0.5014,0.5151,26.47
"[32, 16, 8]",32,tanh,0.00022,0.5117,0.4991,0.5146,27.99
"[128, 64, 32]",16,relu,3.9e-05,0.5131,0.5027,0.5158,25.79
"[64, 32, 16]",32,relu,8.3e-05,0.5121,0.4984,0.5146,12.31
"[32, 16, 8]",16,relu,4.1e-05,0.5091,0.4986,0.5119,25.39
"[64, 32, 16]",4,relu,0.000103,0.5121,0.4999,0.5148,12.29
"[128, 64, 32]",16,tanh,0.000209,0.5112,0.4964,0.514,27.9
"[64, 32, 16]",32,tanh,0.000433,0.5122,0.4998,0.5148,21.33
"[32, 16, 8]",16,tanh,0.000419,0.5081,0.4942,0.5104,18.58
"[64, 32, 16]",4,tanh,0.000235,0.5126,0.502,0.5157,35.18
"[128, 64, 32]",4,relu,8.4e-05,0.5123,0.5007,0.5154,12.37
"[128, 64, 32]",32,relu,4.4e-05,0.5126,0.5025,0.5155,25.79
"[64, 32, 16]",8,relu,3.7e-05,0.5098,0.4987,0.5129,26.6
"[128, 64, 32]",4,tanh,0.000385,0.5126,0.5022,0.5156,37.47
"[128, 64, 32]",32,tanh,0.000749,0.5124,0.5006,0.515,13.6
"[64, 32, 16]",8,tanh,0.0003,0.5112,0.4997,0.5138,19.34
