hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,1.7e-05,0.5088,0.496,0.512,14.43
[128],8,tanh,0.000209,0.512,0.4984,0.515,16.06
[128],16,relu,2.4e-05,0.5107,0.5005,0.5133,16.01
[32],4,relu,1e-06,0.5132,0.499,0.5161,25.03
[128],16,tanh,9.5e-05,0.5104,0.499,0.5135,26.49
[32],32,relu,9e-06,0.512,0.4978,0.5146,24.61
[64],16,relu,1.5e-05,0.5076,0.4963,0.5102,20.73
[32],4,tanh,0.000954,0.511,0.4977,0.5142,14.14
[128],32,relu,2.1e-05,0.5103,0.497,0.513,9.63
[32],32,tanh,0.000104,0.5119,0.5003,0.5151,21.05
[64],16,tanh,0.000174,0.5099,0.4993,0.5131,13.95
[32],8,relu,3e-06,0.5086,0.4968,0.5116,29.13
[128],32,tanh,0.000219,0.5108,0.5,0.5139,24.19
[64],4,relu,4e-06,0.511,0.4993,0.514,26.83
[32],8,tanh,0.000188,0.5123,0.499,0.5151,20.44
[64],32,relu,9e-06,0.51,0.5003,0.5129,28.58
[64],4,tanh,0.000198,0.5097,0.4983,0.5128,23.29
[32],16,relu,7e-06,0.5139,0.5041,0.5166,25.74
[64],8,relu,1.2e-05,0.5094,0.4961,0.5127,19.58
[64],32,tanh,0.0003,0.5142,0.5026,0.5172,12.21
[32],16,tanh,0.000238,0.5117,0.5,0.5148,14.52
[128],4,relu,4.3e-05,0.5132,0.4989,0.5163,9.65
[64],8,tanh,0.000159,0.5118,0.499,0.5148,19.05
[128],4,tanh,0.000383,0.5114,0.4982,0.5143,10.91
"[32, 16]",4,relu,6e-06,0.5108,0.499,0.5136,30.25
"[32, 16]",4,tanh,0.000443,0.5106,0.4957,0.5134,20.67
"[32, 16]",8,relu,3.2e-05,0.5106,0.4983,0.5133,28.73
"[64, 32]",16,relu,5e-05,0.5068,0.4956,0.51,10.37
"[32, 16]",8,tanh,0.000193,0.5088,0.4981,0.5116,22.5
"[32, 16]",32,relu,2.1e-05,0.508,0.4918,0.5113,29.96
"[64, 32]",16,tanh,0.000119,0.5093,0.4949,0.5121,17.26
"[128, 64]",8,relu,4.6e-05,0.512,0.5001,0.5145,12.11
"[64, 32]",32,relu,3.5e-05,0.5098,0.4976,0.513,13.9
"[128, 64]",8,tanh,0.000876,0.5108,0.4986,0.5139,12.64
"[32, 16]",32,tanh,0.000128,0.5108,0.4992,0.514,23.29
"[32, 16]",16,relu,7e-06,0.5103,0.4959,0.5128,28.76
"[64, 32]",4,relu,2.5e-05,0.5127,0.4977,0.5155,21.62
"[128, 64]",16,relu,3.2e-05,0.5137,0.502,0.5167,27.64
"[32, 16]",16,tanh,0.000129,0.5133,0.5012,0.5164,22.09
"[64, 32]",32,tanh,9.4e-05,0.5139,0.5036,0.5167,25.26
"[64, 32]",4,tanh,0.000464,0.5123,0.4995,0.5151,18.19
"[128, 64]",16,tanh,0.000385,0.5098,0.501,0.5126,23.24
"[128, 64]",4,relu,2.5e-05,0.5109,0.4973,0.5137,19.91
"[64, 32]",8,relu,3.3e-05,0.5107,0.5004,0.5137,19.29
"[128, 64]",4,tanh,0.000442,0.5094,0.4961,0.5127,20.99
"[128, 64]",32,relu,4.8e-05,0.5132,0.5013,0.5158,12.56
"[64, 32]",8,tanh,0.000245,0.5142,0.5008,0.5172,19.38
"[128, 64]",32,tanh,0.000244,0.5157,0.5032,0.5183,21.78
"[128, 64, 32]",8,relu,9e-05,0.5104,0.4986,0.5136,11.12
"[32, 16, 8]",4,relu,1.4e-05,0.5133,0.5004,0.516,28.3
"[32, 16, 8]",32,relu,9.6e-05,0.5109,0.4992,0.514,13.18
"[128, 64, 32]",8,tanh,0.000313,0.5115,0.5005,0.5143,24.78
"[32, 16, 8]",4,tanh,0.000346,0.5116,0.4988,0.5144,26.59
"[128, 64, 32]",16,relu,0.000186,0.5106,0.4961,0.513,8.39
"[32, 16, 8]",32,tanh,0.00022,0.5124,0.5002,0.5151,31.09
"[32, 16, 8]",8,relu,6e-06,0.5106,0.4988,0.5136,32.74
"[64, 32, 16]",16,relu,0.000153,0.5097,0.4979,0.5127,10.06
"[64, 32, 16]",16,tanh,0.000419,0.511,0.4975,0.5139,12.72
"[128, 64, 32]",16,tanh,0.000488,0.5109,0.4996,0.514,23.0
"[32, 16, 8]",8,tanh,0.000355,0.5141,0.5015,0.517,20.05
"[64, 32, 16]",4,relu,4.7e-05,0.5134,0.5014,0.5163,20.04
"[64, 32, 16]",32,relu,5.3e-05,0.5106,0.4997,0.5136,17.28
"[32, 16, 8]",16,relu,3.3e-05,0.5138,0.5,0.5165,27.52
"[128, 64, 32]",32,relu,7.2e-05,0.5142,0.5014,0.517,14.87
"[64, 32, 16]",4,tanh,0.00023,0.5116,0.498,0.5144,29.36
"[64, 32, 16]",32,tanh,0.000252,0.5113,0.4989,0.5145,23.29
"[32, 16, 8]",16,tanh,0.000171,0.5109,0.5004,0.5139,24.27
"[128, 64, 32]",32,tanh,0.000266,0.5143,0.4996,0.517,26.08
"[64, 32, 16]",8,relu,3.3e-05,0.5125,0.5005,0.5156,27.93
"[128, 64, 32]",4,relu,4.6e-05,0.5106,0.494,0.5133,17.11
"[64, 32, 16]",8,tanh,0.000286,0.5123,0.5009,0.515,16.05
"[128, 64, 32]",4,tanh,0.000582,0.5116,0.494,0.5145,22.14
