hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,2.5e-05,0.6277,0.6294,0.627,15.01
[32],4,relu,8e-06,0.6286,0.6328,0.6278,21.94
[128],8,relu,1.2e-05,0.6312,0.6325,0.63,20.48
[32],32,relu,2e-06,0.6313,0.634,0.6304,28.2
[64],16,tanh,1.2e-05,0.6275,0.6293,0.6268,27.68
[32],4,tanh,4e-05,0.6309,0.6314,0.6296,21.76
[128],8,tanh,1.9e-05,0.6322,0.6353,0.6315,30.46
[32],32,tanh,1.7e-05,0.6276,0.6324,0.6269,29.77
[64],32,relu,1.2e-05,0.6285,0.6314,0.6278,17.84
[32],8,relu,1e-06,0.6295,0.6329,0.6283,23.48
[64],4,relu,1e-05,0.6297,0.6319,0.6287,29.48
[128],16,relu,7e-06,0.6286,0.6315,0.6276,26.04
[64],32,tanh,1.2e-05,0.6265,0.6299,0.6255,23.38
[32],8,tanh,1.2e-05,0.6324,0.6363,0.6321,28.16
[128],16,tanh,5.2e-05,0.6301,0.6336,0.6293,13.48
[64],4,tanh,2.4e-05,0.6302,0.6307,0.6288,17.18
[32],16,relu,1e-06,0.6307,0.6332,0.6298,24.69
[128],4,relu,2.2e-05,0.6315,0.6348,0.6307,21.51
[128],32,relu,1.1e-05,0.628,0.6303,0.627,21.69
[64],8,relu,6e-06,0.6298,0.6326,0.6289,20.91
[128],4,tanh,3.6e-05,0.6315,0.635,0.6307,13.18
[128],32,tanh,2.2e-05,0.6279,0.6325,0.6274,24.29
[32],16,tanh,1.6e-05,0.6271,0.6329,0.6261,27.11
[64],8,tanh,1.9e-05,0.6316,0.6355,0.6312,23.69
"[32, 16]",4,relu,1.9e-05,0.63,0.6341,0.6292,21.91
"[32, 16]",4,tanh,9.5e-05,0.6307,0.6344,0.6298,15.2
"[32, 16]",32,relu,8e-06,0.6305,0.635,0.6299,31.7
"[64, 32]",16,relu,2.3e-05,0.628,0.6301,0.6271,19.55
"[128, 64]",8,relu,2.2e-05,0.6306,0.6334,0.6299,30.77
"[32, 16]",8,relu,2.2e-05,0.6293,0.6334,0.6286,14.49
"[32, 16]",32,tanh,2e-05,0.6296,0.634,0.6288,20.52
"[128, 64]",8,tanh,0.00017,0.6313,0.6346,0.6305,10.39
"[64, 32]",16,tanh,6.3e-05,0.6287,0.6311,0.6281,18.41
"[32, 16]",8,tanh,2.4e-05,0.6303,0.6336,0.6296,29.42
"[64, 32]",4,relu,3.1e-05,0.631,0.6349,0.6302,29.48
"[128, 64]",16,relu,3.5e-05,0.6286,0.63,0.6277,19.72
"[64, 32]",32,relu,2.5e-05,0.6308,0.633,0.6299,23.54
"[32, 16]",16,relu,4e-06,0.6308,0.6328,0.6301,19.75
"[64, 32]",4,tanh,7.6e-05,0.6315,0.6362,0.6309,18.69
"[128, 64]",16,tanh,6.7e-05,0.6282,0.6301,0.6278,18.6
"[64, 32]",32,tanh,4.9e-05,0.6285,0.6311,0.6277,11.92
"[32, 16]",16,tanh,2.5e-05,0.6307,0.6332,0.6295,18.15
"[64, 32]",8,relu,1.2e-05,0.6324,0.6333,0.6311,27.43
"[128, 64]",32,relu,4.1e-05,0.6262,0.63,0.6253,22.03
"[128, 64]",4,relu,0.000122,0.6296,0.6325,0.6287,25.45
"[64, 32]",8,tanh,4.6e-05,0.6315,0.6352,0.6314,17.88
"[128, 64]",32,tanh,6.8e-05,0.6286,0.6322,0.6283,16.25
"[128, 64]",4,tanh,9.1e-05,0.6297,0.6303,0.6285,19.59
"[32, 16, 8]",4,relu,0.012372,0.6082,0.6099,0.608,32.72
"[32, 16, 8]",32,relu,3e-05,0.6297,0.6341,0.6291,31.05
"[32, 16, 8]",4,tanh,4.5e-05,0.6319,0.6354,0.6312,24.41
"[32, 16, 8]",32,tanh,8.6e-05,0.631,0.633,0.6302,22.67
"[32, 16, 8]",8,relu,2e-05,0.6306,0.6338,0.6297,24.84
"[128, 64, 32]",8,relu,4.7e-05,0.6283,0.6311,0.6275,26.23
"[64, 32, 16]",16,relu,5.2e-05,0.6297,0.6327,0.6288,19.85
"[64, 32, 16]",16,tanh,5.6e-05,0.6301,0.6328,0.6291,11.66
"[128, 64, 32]",8,tanh,9.5e-05,0.6307,0.6346,0.6304,24.75
"[32, 16, 8]",8,tanh,5.1e-05,0.6293,0.632,0.6285,25.9
"[64, 32, 16]",4,relu,0.011454,0.6082,0.6091,0.6081,30.19
"[64, 32, 16]",32,relu,7.5e-05,0.6284,0.6302,0.6279,16.31
"[32, 16, 8]",16,relu,2.9e-05,0.6311,0.6343,0.6303,22.52
"[128, 64, 32]",16,relu,6.2e-05,0.6275,0.6289,0.6268,25.76
"[64, 32, 16]",32,tanh,0.000104,0.6282,0.6326,0.6275,14.17
"[64, 32, 16]",4,tanh,7e-05,0.6304,0.6313,0.6291,31.37
"[128, 64, 32]",16,tanh,9.4e-05,0.6316,0.6341,0.6307,12.27
"[128, 64, 32]",4,relu,0.010759,0.6086,0.6107,0.6085,20.05
"[32, 16, 8]",16,tanh,6.9e-05,0.63,0.6315,0.6291,24.43
"[64, 32, 16]",8,relu,1.2e-05,0.6305,0.6344,0.6297,35.23
"[128, 64, 32]",32,relu,5.7e-05,0.6282,0.6303,0.6276,23.51
"[128, 64, 32]",4,tanh,8.4e-05,0.6306,0.6342,0.6298,25.05
"[64, 32, 16]",8,tanh,8.6e-05,0.6293,0.6334,0.6291,18.46
"[128, 64, 32]",32,tanh,0.000109,0.6305,0.6347,0.6299,12.8
