hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,2.5e-05,0.6317,0.6348,0.631,12.38
[32],4,relu,4e-06,0.6311,0.6351,0.6304,27.59
[32],32,relu,8e-06,0.6292,0.6329,0.6283,18.33
[128],8,tanh,3.9e-05,0.6306,0.6333,0.6297,18.88
[64],16,relu,1.3e-05,0.6301,0.6328,0.6294,15.06
[32],32,tanh,1.5e-05,0.631,0.633,0.6302,15.38
[32],4,tanh,4.2e-05,0.6304,0.6308,0.629,26.28
[128],16,relu,1.5e-05,0.6288,0.6305,0.628,20.55
[64],16,tanh,2.5e-05,0.6304,0.6315,0.6295,16.5
[32],8,relu,3e-06,0.6303,0.6313,0.6292,16.0
[64],4,relu,9e-06,0.6306,0.633,0.6298,24.35
[128],16,tanh,2.9e-05,0.6268,0.6311,0.6265,14.17
[32],8,tanh,1.9e-05,0.6314,0.635,0.631,24.11
[64],32,relu,1.6e-05,0.6265,0.6277,0.6251,19.93
[128],32,relu,1.5e-05,0.6301,0.6326,0.6292,16.59
[64],4,tanh,2e-05,0.6304,0.6339,0.6295,25.94
[128],32,tanh,2.9e-05,0.6257,0.6308,0.6251,16.23
[32],16,relu,1.6e-05,0.6294,0.6314,0.6287,17.68
[64],8,relu,5e-06,0.6312,0.6345,0.6305,20.24
[64],32,tanh,1.3e-05,0.629,0.631,0.6282,21.7
[32],16,tanh,5e-06,0.6299,0.6335,0.6292,27.88
[64],8,tanh,1.1e-05,0.6288,0.6332,0.6285,27.61
[128],4,relu,9e-06,0.6299,0.631,0.6289,23.23
[128],4,tanh,2.9e-05,0.6318,0.6336,0.6309,18.06
"[32, 16]",4,relu,0.000852,0.6276,0.6307,0.6267,28.39
"[32, 16]",4,tanh,8.3e-05,0.6311,0.6345,0.6302,13.1
"[32, 16]",8,relu,4e-06,0.6315,0.6318,0.6302,29.35
"[32, 16]",32,relu,2e-05,0.628,0.6307,0.6273,21.03
"[32, 16]",8,tanh,6.3e-05,0.6312,0.6341,0.6305,15.72
"[64, 32]",16,relu,1.8e-05,0.6276,0.6297,0.627,27.99
"[32, 16]",32,tanh,3.4e-05,0.6264,0.6302,0.6256,19.39
"[128, 64]",8,relu,3.7e-05,0.6283,0.6301,0.6274,20.21
"[32, 16]",16,relu,2.4e-05,0.6316,0.635,0.6309,17.82
"[64, 32]",16,tanh,4.9e-05,0.6323,0.6354,0.6313,14.93
"[64, 32]",4,relu,3.7e-05,0.6291,0.6293,0.628,27.06
"[128, 64]",8,tanh,4.9e-05,0.631,0.6336,0.6303,20.34
"[32, 16]",16,tanh,4.7e-05,0.6309,0.6335,0.63,16.05
"[64, 32]",32,relu,2.5e-05,0.6294,0.6331,0.6287,31.44
"[128, 64]",16,relu,2.4e-05,0.6315,0.6342,0.6306,30.2
"[64, 32]",4,tanh,4e-05,0.6329,0.6368,0.6321,33.96
"[64, 32]",32,tanh,5.1e-05,0.631,0.6334,0.63,10.62
"[64, 32]",8,relu,4.8e-05,0.6303,0.6329,0.6296,12.42
"[128, 64]",4,relu,6.2e-05,0.6328,0.6365,0.6321,20.74
"[128, 64]",16,tanh,3.1e-05,0.6304,0.633,0.6293,27.72
"[64, 32]",8,tanh,4.1e-05,0.6292,0.6335,0.6289,22.61
"[128, 64]",4,tanh,0.000126,0.6287,0.6304,0.6277,12.49
"[128, 64]",32,relu,0.00016,0.6282,0.6307,0.6272,8.82
"[128, 64]",32,tanh,5.1e-05,0.6307,0.6349,0.6301,19.36
"[32, 16, 8]",4,relu,1.2e-05,0.6317,0.6347,0.6308,33.36
"[32, 16, 8]",4,tanh,5e-05,0.6308,0.6346,0.6298,29.62
"[32, 16, 8]",32,relu,1.9e-05,0.6269,0.631,0.6262,33.09
"[128, 64, 32]",8,relu,6.4e-05,0.6307,0.633,0.6301,19.72
"[32, 16, 8]",8,relu,5.3e-05,0.6291,0.6333,0.6284,20.88
"[32, 16, 8]",32,tanh,0.000122,0.6278,0.63,0.6273,17.99
"[128, 64, 32]",8,tanh,0.000125,0.6288,0.6322,0.6285,22.54
"[64, 32, 16]",16,relu,3.1e-05,0.6302,0.632,0.6292,35.01
"[32, 16, 8]",8,tanh,5.5e-05,0.6289,0.6329,0.6282,22.76
"[64, 32, 16]",4,relu,0.010294,0.6106,0.6125,0.6105,35.12
"[128, 64, 32]",16,relu,0.000171,0.6283,0.6304,0.6276,9.7
"[64, 32, 16]",16,tanh,6.9e-05,0.629,0.6316,0.628,29.2
"[32, 16, 8]",16,relu,1.7e-05,0.63,0.6314,0.6293,34.19
"[64, 32, 16]",4,tanh,3.5e-05,0.6304,0.6338,0.6295,29.7
"[128, 64, 32]",16,tanh,7.3e-05,0.6287,0.6311,0.628,20.21
"[64, 32, 16]",32,relu,3.7e-05,0.6296,0.6327,0.6291,26.6
"[32, 16, 8]",16,tanh,4.3e-05,0.6297,0.6328,0.6286,28.03
"[64, 32, 16]",8,relu,3.2e-05,0.6292,0.6331,0.6285,25.61
"[128, 64, 32]",32,relu,6.1e-05,0.6297,0.6323,0.6287,22.05
"[64, 32, 16]",32,tanh,4.8e-05,0.6293,0.6312,0.6283,34.84
"[128, 64, 32]",32,tanh,0.0001,0.6301,0.632,0.6296,21.4
"[64, 32, 16]",8,tanh,6.8e-05,0.6302,0.633,0.6295,21.05
"[128, 64, 32]",4,relu,0.000284,0.6299,0.6339,0.6289,26.03
"[128, 64, 32]",4,tanh,0.000112,0.6305,0.6339,0.6296,19.85
