hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,7e-06,0.6108,0.611,0.6109,20.79
[32],4,relu,0.009286,0.5807,0.5802,0.5808,26.63
[128],8,relu,7e-06,0.6103,0.6107,0.6099,27.62
[32],32,relu,3e-06,0.608,0.6083,0.6078,27.28
[64],16,tanh,0.000113,0.6106,0.6087,0.6102,13.48
[128],8,tanh,0.000126,0.6132,0.6108,0.6119,25.91
[32],4,tanh,0.012072,0.5795,0.5793,0.5796,28.55
[32],32,tanh,3.8e-05,0.6115,0.6111,0.611,27.92
[64],32,relu,9e-06,0.6089,0.6084,0.6083,19.24
[32],8,relu,1e-06,0.6136,0.6137,0.6131,26.57
[128],16,relu,8e-06,0.6139,0.6119,0.6132,26.22
[64],4,relu,0.007329,0.5867,0.5861,0.5866,29.88
[64],32,tanh,9e-05,0.6105,0.61,0.6101,13.05
[32],8,tanh,0.000171,0.6112,0.6051,0.6096,17.35
[128],16,tanh,9.2e-05,0.6089,0.6073,0.6089,18.57
[64],4,tanh,0.010946,0.5777,0.5771,0.5778,28.92
[128],4,relu,0.005775,0.5847,0.5841,0.5845,31.01
[32],16,relu,1e-06,0.6039,0.6002,0.6024,18.18
[128],32,relu,5.4e-05,0.6133,0.6129,0.6129,16.0
[64],8,relu,7e-06,0.6092,0.6021,0.6076,16.72
[128],4,tanh,0.017067,0.5754,0.5748,0.5757,30.38
[32],16,tanh,8.1e-05,0.6148,0.6139,0.6144,17.26
[64],8,tanh,0.000169,0.6104,0.61,0.6106,17.65
[128],32,tanh,0.000115,0.608,0.6084,0.608,17.7
"[32, 16]",4,relu,0.005049,0.5846,0.5842,0.5849,30.48
"[32, 16]",32,relu,1.1e-05,0.6118,0.6107,0.6112,22.25
"[128, 64]",8,relu,0.000199,0.6094,0.6101,0.609,11.47
"[64, 32]",16,relu,1.2e-05,0.6096,0.6092,0.6093,26.89
"[32, 16]",4,tanh,0.008295,0.5807,0.5816,0.5805,31.65
"[32, 16]",32,tanh,0.000148,0.6103,0.6104,0.6101,18.32
"[64, 32]",16,tanh,7.4e-05,0.6103,0.6103,0.6104,21.63
"[128, 64]",8,tanh,0.000176,0.6105,0.6041,0.6089,21.74
"[32, 16]",8,relu,4e-06,0.6116,0.612,0.6111,16.35
"[64, 32]",4,relu,0.018371,0.5633,0.5632,0.5638,32.66
"[64, 32]",32,relu,1.2e-05,0.6085,0.6083,0.6082,32.54
"[128, 64]",16,relu,9.6e-05,0.6065,0.6071,0.6067,17.32
"[32, 16]",8,tanh,9.8e-05,0.6124,0.6088,0.6115,20.18
"[64, 32]",4,tanh,0.006992,0.582,0.5842,0.5822,33.75
"[128, 64]",16,tanh,0.000122,0.6115,0.6097,0.6114,16.39
"[64, 32]",32,tanh,0.0002,0.6113,0.609,0.6105,12.75
"[32, 16]",16,relu,5e-06,0.6132,0.6119,0.6128,17.9
"[32, 16]",16,tanh,0.000221,0.6096,0.6085,0.6096,15.54
"[128, 64]",32,relu,0.000116,0.6064,0.6045,0.6055,19.53
"[128, 64]",4,relu,0.003753,0.5862,0.588,0.5858,33.34
"[64, 32]",8,relu,1.4e-05,0.6125,0.6082,0.6112,33.26
"[128, 64]",32,tanh,9.8e-05,0.6083,0.608,0.6081,23.25
"[64, 32]",8,tanh,0.00013,0.6143,0.6118,0.6136,20.1
"[128, 64]",4,tanh,0.008278,0.5813,0.5823,0.5817,27.5
"[32, 16, 8]",4,relu,0.005886,0.5836,0.5854,0.5838,32.95
"[32, 16, 8]",32,relu,1.5e-05,0.6055,0.6053,0.6055,32.97
"[64, 32, 16]",16,relu,7e-05,0.6078,0.6084,0.6077,22.59
"[32, 16, 8]",4,tanh,0.008272,0.5808,0.5824,0.5809,33.51
"[32, 16, 8]",32,tanh,0.000211,0.6086,0.6079,0.6082,21.34
"[128, 64, 32]",8,relu,8.9e-05,0.6104,0.6076,0.6095,28.6
"[64, 32, 16]",16,tanh,0.000156,0.612,0.6101,0.6114,23.0
"[32, 16, 8]",8,relu,1.4e-05,0.6107,0.6112,0.6103,26.06
"[128, 64, 32]",8,tanh,0.00045,0.6089,0.6086,0.6088,13.78
"[64, 32, 16]",4,relu,0.003812,0.5915,0.5938,0.5917,35.38
"[32, 16, 8]",8,tanh,0.000277,0.6128,0.6117,0.612,25.26
"[64, 32, 16]",32,relu,1.3e-05,0.6078,0.6078,0.6076,35.07
"[128, 64, 32]",16,relu,0.000148,0.6062,0.6061,0.6062,23.3
"[64, 32, 16]",4,tanh,0.007122,0.5827,0.5852,0.5829,36.63
"[32, 16, 8]",16,relu,4.5e-05,0.6093,0.6079,0.6086,24.76
"[64, 32, 16]",32,tanh,9.1e-05,0.6102,0.6063,0.6092,35.87
"[64, 32, 16]",8,relu,4.1e-05,0.6063,0.6069,0.6059,28.28
"[128, 64, 32]",16,tanh,0.000159,0.6131,0.6122,0.6127,25.13
"[32, 16, 8]",16,tanh,0.000194,0.6133,0.6123,0.6122,20.48
"[64, 32, 16]",8,tanh,0.000226,0.6109,0.6058,0.6095,19.79
"[128, 64, 32]",32,relu,0.000182,0.6032,0.6027,0.6033,17.05
"[128, 64, 32]",4,relu,0.00405,0.5863,0.5863,0.5865,37.93
"[128, 64, 32]",32,tanh,0.000251,0.6071,0.6078,0.6073,18.37
"[128, 64, 32]",4,tanh,0.008881,0.5769,0.5791,0.5774,42.47
