hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,2.4e-05,0.6108,0.6108,0.6105,16.51
[32],4,relu,0.010817,0.592,0.5909,0.5918,20.87
[64],16,relu,1e-06,0.6105,0.6072,0.6099,29.18
[32],32,relu,7e-06,0.6093,0.6104,0.609,25.08
[128],8,tanh,0.000354,0.6104,0.6088,0.6097,9.94
[32],4,tanh,0.014406,0.5796,0.5815,0.5799,29.42
[64],16,tanh,5.4e-05,0.6118,0.6106,0.6115,23.56
[32],32,tanh,5.8e-05,0.6114,0.6103,0.6107,22.16
[128],16,relu,1e-05,0.6086,0.6072,0.6081,29.72
[32],8,relu,1e-06,0.6126,0.6131,0.6125,19.88
[64],4,relu,0.006205,0.5929,0.5941,0.5928,29.1
[64],32,relu,8e-06,0.6096,0.6095,0.6092,24.78
[128],16,tanh,0.000165,0.6124,0.6091,0.611,14.18
[32],8,tanh,8.5e-05,0.6156,0.6154,0.6148,29.23
[64],4,tanh,0.014239,0.5786,0.5799,0.5786,30.39
[128],32,relu,3.5e-05,0.6068,0.6068,0.6064,19.72
[64],32,tanh,4.4e-05,0.6102,0.6099,0.61,21.78
[32],16,relu,1e-06,0.6071,0.6069,0.6067,15.61
[64],8,relu,4e-06,0.609,0.6094,0.6085,22.23
[128],4,relu,0.024473,0.5668,0.5667,0.5671,30.82
[128],32,tanh,5.4e-05,0.608,0.609,0.608,24.24
[32],16,tanh,4.7e-05,0.6107,0.61,0.6108,23.35
[64],8,tanh,0.000246,0.6068,0.6055,0.6072,12.85
[128],4,tanh,0.013435,0.5761,0.5738,0.5767,31.88
"[32, 16]",4,relu,0.028737,0.5642,0.5615,0.5645,30.77
"[32, 16]",4,tanh,0.008115,0.5803,0.5804,0.5804,30.23
"[32, 16]",8,relu,9e-06,0.6097,0.6087,0.6097,21.65
"[32, 16]",32,relu,1.2e-05,0.6065,0.6049,0.6056,13.56
"[64, 32]",16,relu,3.1e-05,0.6074,0.6081,0.6076,20.67
"[32, 16]",8,tanh,7.6e-05,0.6068,0.6056,0.6071,25.11
"[128, 64]",8,relu,6.5e-05,0.61,0.6109,0.6101,23.26
"[32, 16]",32,tanh,0.000167,0.6105,0.6085,0.6099,14.75
"[64, 32]",16,tanh,0.000138,0.6046,0.6036,0.6051,21.1
"[32, 16]",16,relu,4e-06,0.6106,0.61,0.6103,27.95
"[128, 64]",8,tanh,0.000141,0.6106,0.603,0.6089,33.26
"[64, 32]",4,relu,0.003348,0.5886,0.5891,0.5888,33.31
"[64, 32]",32,relu,2e-05,0.6064,0.6029,0.6054,30.81
"[32, 16]",16,tanh,9.6e-05,0.6128,0.6122,0.6124,19.77
"[64, 32]",4,tanh,0.008983,0.5796,0.5821,0.5802,24.82
"[128, 64]",16,relu,7.2e-05,0.6079,0.6069,0.6072,20.52
"[64, 32]",32,tanh,8.4e-05,0.611,0.6104,0.6105,24.36
"[128, 64]",16,tanh,0.000661,0.607,0.5996,0.6054,10.42
"[64, 32]",8,relu,2.9e-05,0.6094,0.6103,0.6096,24.67
"[128, 64]",4,relu,0.003241,0.5886,0.59,0.5885,35.3
"[64, 32]",8,tanh,0.000183,0.6105,0.602,0.6086,20.21
"[128, 64]",32,relu,0.000277,0.606,0.6053,0.6061,12.57
"[128, 64]",4,tanh,0.007632,0.5827,0.5843,0.5827,36.75
"[128, 64]",32,tanh,9.5e-05,0.6085,0.6084,0.6075,26.11
"[32, 16, 8]",4,relu,0.02226,0.5687,0.5682,0.5692,30.86
"[32, 16, 8]",4,tanh,0.007898,0.5821,0.5835,0.5822,32.41
"[32, 16, 8]",32,relu,5.1e-05,0.6081,0.6086,0.6078,19.18
"[32, 16, 8]",8,relu,1.3e-05,0.6094,0.6109,0.6093,33.03
"[128, 64, 32]",8,relu,0.000239,0.6072,0.608,0.6072,14.66
"[32, 16, 8]",32,tanh,0.000134,0.6046,0.6048,0.6049,28.84
"[64, 32, 16]",16,relu,3.2e-05,0.6103,0.6099,0.6103,34.86
"[32, 16, 8]",8,tanh,0.000267,0.6077,0.5976,0.6058,20.92
"[128, 64, 32]",8,tanh,0.000281,0.6126,0.6101,0.612,17.34
"[64, 32, 16]",4,relu,0.004374,0.5876,0.5897,0.5877,31.17
"[64, 32, 16]",16,tanh,0.000187,0.613,0.612,0.6127,15.13
"[128, 64, 32]",16,relu,0.000215,0.6067,0.6058,0.6067,16.09
"[32, 16, 8]",16,relu,1.7e-05,0.6055,0.6017,0.6046,24.14
"[64, 32, 16]",4,tanh,0.007401,0.5785,0.5777,0.5792,36.57
"[64, 32, 16]",32,relu,0.000146,0.6068,0.6076,0.6068,17.59
"[128, 64, 32]",16,tanh,0.000357,0.61,0.6099,0.61,12.28
"[32, 16, 8]",16,tanh,0.000215,0.611,0.6107,0.6109,23.52
"[64, 32, 16]",8,relu,8.5e-05,0.6035,0.6048,0.6033,19.8
"[64, 32, 16]",32,tanh,0.000202,0.6082,0.6078,0.6078,13.88
"[128, 64, 32]",32,relu,0.000143,0.6067,0.6077,0.6061,21.88
"[64, 32, 16]",8,tanh,0.000188,0.6057,0.6059,0.606,23.51
"[128, 64, 32]",4,relu,0.004848,0.5856,0.5871,0.586,31.73
"[128, 64, 32]",32,tanh,0.000223,0.6121,0.6098,0.6113,24.11
"[128, 64, 32]",4,tanh,0.015969,0.578,0.5793,0.5783,13.74
