hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,3e-06,0.2931,0.2844,0.2923,12.61
[32],4,relu,2.1e-05,0.2947,0.2837,0.2934,8.91
[64],16,relu,4e-06,0.2926,0.2885,0.2917,25.31
[32],32,relu,4e-06,0.2937,0.2925,0.2935,11.54
[64],16,tanh,3.8e-05,0.296,0.2859,0.2949,12.21
[128],8,tanh,2.1e-05,0.2935,0.287,0.2922,22.7
[32],4,tanh,2.6e-05,0.2985,0.2862,0.2969,24.99
[32],32,tanh,3e-06,0.2957,0.2921,0.2948,28.11
[64],32,relu,6e-06,0.2935,0.291,0.2927,15.33
[128],16,relu,3e-06,0.2937,0.2936,0.2935,8.81
[32],8,relu,5e-06,0.2937,0.2889,0.2929,15.17
[64],4,relu,4e-06,0.2949,0.2823,0.2939,12.44
[128],16,tanh,5e-05,0.293,0.2846,0.2921,11.73
[64],32,tanh,9e-06,0.295,0.2859,0.2941,16.24
[32],8,tanh,8e-06,0.2965,0.2867,0.2952,21.4
[128],32,relu,7e-06,0.293,0.293,0.2927,6.91
[128],4,relu,2e-06,0.2986,0.2858,0.2972,11.9
[64],4,tanh,1.9e-05,0.2952,0.2905,0.2942,23.94
[32],16,relu,2e-06,0.2937,0.2896,0.2931,22.52
[128],32,tanh,3.8e-05,0.2925,0.291,0.2925,16.0
[64],8,relu,3e-06,0.2977,0.2835,0.2965,16.2
[128],4,tanh,5.2e-05,0.2939,0.2914,0.2932,13.97
[64],8,tanh,2.3e-05,0.2942,0.2827,0.2932,12.28
[32],16,tanh,7e-06,0.2903,0.2886,0.29,22.5
"[32, 16]",4,relu,5e-06,0.2941,0.2917,0.2935,26.55
"[32, 16]",32,relu,1.3e-05,0.2921,0.2884,0.2913,10.68
"[32, 16]",4,tanh,2e-05,0.2946,0.2895,0.2938,20.52
"[128, 64]",8,relu,1.1e-05,0.292,0.2839,0.2911,12.55
"[64, 32]",16,relu,5e-06,0.2922,0.2896,0.2918,13.21
"[32, 16]",8,relu,1.9e-05,0.2923,0.2872,0.2917,12.46
"[32, 16]",32,tanh,7e-06,0.2948,0.2727,0.293,25.65
"[128, 64]",8,tanh,4.3e-05,0.288,0.2842,0.2873,18.99
"[64, 32]",16,tanh,1e-05,0.2967,0.2797,0.2948,26.97
"[128, 64]",16,relu,2.1e-05,0.2921,0.29,0.2917,7.59
"[32, 16]",8,tanh,1.2e-05,0.2929,0.2865,0.2915,20.8
"[64, 32]",4,relu,1e-05,0.292,0.2866,0.2909,12.35
"[64, 32]",32,relu,5e-06,0.2902,0.2862,0.2906,19.18
"[32, 16]",16,relu,8e-06,0.2913,0.2877,0.2906,12.2
"[128, 64]",16,tanh,4.2e-05,0.2961,0.283,0.2947,18.41
"[64, 32]",4,tanh,6.2e-05,0.2847,0.2847,0.2845,20.27
"[128, 64]",32,relu,7e-06,0.2934,0.2905,0.2934,7.95
"[64, 32]",32,tanh,9e-06,0.2921,0.2852,0.2906,25.4
"[64, 32]",8,relu,1.4e-05,0.2891,0.288,0.2886,12.69
"[32, 16]",16,tanh,1.3e-05,0.2961,0.2794,0.2946,22.7
"[128, 64]",4,relu,9e-06,0.2964,0.2918,0.2952,7.83
"[128, 64]",32,tanh,0.000157,0.2971,0.2947,0.2965,11.35
"[64, 32]",8,tanh,2e-05,0.2951,0.2908,0.2943,16.77
"[128, 64]",4,tanh,6.1e-05,0.2924,0.2878,0.2915,20.3
"[32, 16, 8]",4,relu,2.3e-05,0.2936,0.2883,0.2928,10.72
"[32, 16, 8]",4,tanh,3.2e-05,0.2848,0.2711,0.2836,12.7
"[64, 32, 16]",16,relu,1.4e-05,0.2947,0.2836,0.2935,18.03
"[32, 16, 8]",32,relu,9e-06,0.2957,0.2913,0.295,26.02
"[32, 16, 8]",8,relu,9e-06,0.2866,0.2732,0.2854,17.2
"[128, 64, 32]",8,relu,1.5e-05,0.2931,0.2795,0.2924,24.65
"[64, 32, 16]",16,tanh,5e-05,0.2941,0.2754,0.2929,11.94
"[32, 16, 8]",32,tanh,4.2e-05,0.2945,0.2926,0.2942,15.37
"[64, 32, 16]",32,relu,5.3e-05,0.2924,0.29,0.2916,9.07
"[32, 16, 8]",8,tanh,3.1e-05,0.2932,0.2904,0.2925,20.16
"[128, 64, 32]",8,tanh,3.7e-05,0.2924,0.2903,0.2923,26.49
"[32, 16, 8]",16,relu,2.3e-05,0.2935,0.2909,0.2931,10.67
"[64, 32, 16]",4,relu,7.6e-05,0.2913,0.2858,0.2907,12.27
"[128, 64, 32]",16,relu,1.4e-05,0.2927,0.2844,0.292,13.32
"[64, 32, 16]",32,tanh,1.8e-05,0.299,0.2863,0.2976,22.57
"[32, 16, 8]",16,tanh,2.9e-05,0.2909,0.2742,0.2894,13.67
"[128, 64, 32]",4,relu,4.3e-05,0.2933,0.2916,0.2924,11.09
"[64, 32, 16]",4,tanh,3e-05,0.2922,0.2884,0.2914,23.08
"[128, 64, 32]",16,tanh,3.8e-05,0.2932,0.2791,0.2918,18.89
"[64, 32, 16]",8,relu,7e-06,0.2953,0.2799,0.2935,15.95
"[128, 64, 32]",32,relu,1.1e-05,0.293,0.2929,0.2927,9.84
"[128, 64, 32]",4,tanh,7.6e-05,0.2934,0.2784,0.2924,18.82
"[128, 64, 32]",32,tanh,0.000137,0.2918,0.2909,0.2922,13.51
"[64, 32, 16]",8,tanh,3.4e-05,0.2945,0.2898,0.2934,16.1
