hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,8e-06,0.2946,0.2819,0.2932,7.42
[128],8,tanh,1.8e-05,0.2944,0.2904,0.2939,20.49
[128],16,relu,5e-06,0.2946,0.2726,0.2928,7.61
[32],4,relu,5e-06,0.2961,0.292,0.2954,19.66
[32],32,relu,3e-06,0.2917,0.2893,0.2911,16.06
[128],16,tanh,2.9e-05,0.2964,0.2804,0.2945,13.78
[128],32,relu,7e-06,0.2927,0.2874,0.2921,7.0
[32],4,tanh,1.2e-05,0.294,0.2866,0.2928,21.12
[32],32,tanh,4e-06,0.2937,0.2886,0.2924,26.46
[64],16,relu,3e-06,0.2916,0.288,0.2912,17.64
[128],32,tanh,4.8e-05,0.2873,0.2814,0.287,14.67
[32],8,relu,4e-06,0.2902,0.2816,0.2895,18.86
[64],4,relu,3e-06,0.2966,0.2801,0.2951,19.91
[64],16,tanh,1.5e-05,0.2972,0.2839,0.2956,16.94
[32],8,tanh,5e-06,0.2939,0.2885,0.2931,22.97
[64],32,relu,1e-05,0.2946,0.2896,0.2934,9.68
[64],4,tanh,2.3e-05,0.2926,0.2769,0.2914,18.04
[32],16,relu,7e-06,0.2932,0.29,0.2925,11.78
[64],32,tanh,4.2e-05,0.297,0.2961,0.2965,12.64
[64],8,relu,3e-06,0.2917,0.2828,0.2909,17.94
[128],4,relu,4e-06,0.2934,0.2915,0.2927,12.43
[32],16,tanh,2e-06,0.2957,0.2783,0.294,28.46
[64],8,tanh,1e-05,0.2952,0.2846,0.294,28.32
[128],4,tanh,2.3e-05,0.2935,0.2902,0.2931,31.11
"[32, 16]",4,relu,1.4e-05,0.2937,0.2904,0.2932,11.36
"[32, 16]",4,tanh,1.3e-05,0.2962,0.2794,0.2947,20.0
"[32, 16]",8,relu,1e-05,0.2923,0.2897,0.2915,14.9
"[32, 16]",8,tanh,1.4e-05,0.2932,0.2881,0.2923,19.39
"[64, 32]",16,relu,1.4e-05,0.291,0.2894,0.2909,8.16
"[32, 16]",16,relu,2e-06,0.2916,0.2896,0.2912,19.46
"[32, 16]",32,relu,1e-05,0.2913,0.2876,0.2907,14.34
"[64, 32]",16,tanh,2.7e-05,0.295,0.2911,0.2942,21.82
"[32, 16]",16,tanh,2e-05,0.2901,0.2746,0.2891,19.29
"[32, 16]",32,tanh,1.9e-05,0.2923,0.2908,0.2924,20.76
"[128, 64]",8,relu,9e-06,0.2876,0.2838,0.2868,7.56
"[64, 32]",32,relu,7e-06,0.2928,0.2923,0.2925,19.07
"[64, 32]",4,relu,3e-06,0.2926,0.2908,0.292,26.02
"[128, 64]",8,tanh,4.2e-05,0.2937,0.2759,0.2931,17.29
"[128, 64]",16,relu,2e-05,0.2906,0.2832,0.2896,9.99
"[64, 32]",32,tanh,9e-06,0.2958,0.2925,0.295,25.05
"[64, 32]",4,tanh,7.9e-05,0.2917,0.2914,0.2919,10.48
"[128, 64]",4,relu,1.4e-05,0.2903,0.2745,0.2889,11.0
"[128, 64]",16,tanh,1.9e-05,0.2933,0.2829,0.2926,22.43
"[64, 32]",8,relu,5e-06,0.294,0.2805,0.2928,9.14
"[128, 64]",32,relu,4e-06,0.2921,0.2903,0.2919,17.57
"[64, 32]",8,tanh,3.1e-05,0.2962,0.2794,0.2947,15.45
"[128, 64]",4,tanh,9.5e-05,0.2916,0.2746,0.2902,19.96
"[128, 64]",32,tanh,0.000157,0.2919,0.2851,0.2912,11.13
"[32, 16, 8]",4,relu,1.3e-05,0.294,0.2882,0.2929,15.25
"[32, 16, 8]",4,tanh,5.3e-05,0.2947,0.2723,0.2929,12.57
"[128, 64, 32]",8,relu,2.6e-05,0.2926,0.2859,0.2919,23.12
"[32, 16, 8]",32,relu,4e-06,0.2925,0.2926,0.2921,22.73
"[32, 16, 8]",8,relu,9e-06,0.295,0.2892,0.2938,12.86
"[128, 64, 32]",8,tanh,0.000196,0.2946,0.2919,0.2941,15.96
"[32, 16, 8]",8,tanh,1.9e-05,0.2947,0.2907,0.2939,27.88
"[128, 64, 32]",16,relu,3.4e-05,0.2921,0.288,0.2913,14.58
"[32, 16, 8]",32,tanh,9e-06,0.2946,0.2938,0.2946,34.43
"[32, 16, 8]",16,relu,1.9e-05,0.2926,0.2851,0.2919,10.64
"[128, 64, 32]",16,tanh,5.7e-05,0.2947,0.2791,0.293,15.39
"[64, 32, 16]",16,relu,8e-06,0.2911,0.2896,0.2907,22.89
"[64, 32, 16]",4,relu,1.8e-05,0.2899,0.2874,0.2905,18.39
"[128, 64, 32]",32,relu,2e-05,0.2936,0.2847,0.2931,13.6
"[32, 16, 8]",16,tanh,2.5e-05,0.2974,0.2844,0.2959,18.89
"[64, 32, 16]",16,tanh,1.1e-05,0.2961,0.2791,0.2946,30.79
"[64, 32, 16]",4,tanh,2.5e-05,0.2947,0.2896,0.2934,24.07
"[128, 64, 32]",32,tanh,0.000278,0.2948,0.2955,0.2946,11.14
"[64, 32, 16]",32,relu,8e-06,0.2896,0.2895,0.2898,10.09
"[64, 32, 16]",8,relu,3.9e-05,0.2918,0.2787,0.2908,10.33
"[64, 32, 16]",32,tanh,6.5e-05,0.2915,0.2851,0.2901,12.41
"[64, 32, 16]",8,tanh,4.9e-05,0.2978,0.2843,0.2963,13.97
"[128, 64, 32]",4,relu,1.1e-05,0.2912,0.2903,0.2906,12.39
"[128, 64, 32]",4,tanh,6.3e-05,0.2965,0.2864,0.2952,20.91
