hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[128],8,relu,5e-06,0.6346,0.6682,0.42,13.47
[32],4,relu,3e-06,0.6656,0.6917,0.4219,19.53
[64],16,relu,5e-06,0.652,0.6847,0.4127,18.29
[32],32,relu,2e-06,0.6427,0.6788,0.4335,22.07
[128],8,tanh,0.000671,0.6457,0.6783,0.4174,8.99
[32],4,tanh,0.000381,0.6582,0.6855,0.4217,17.12
[64],16,tanh,0.00031,0.6414,0.6769,0.4118,16.31
[128],16,relu,3e-06,0.6608,0.6891,0.4196,14.78
[32],32,tanh,0.000303,0.6446,0.6789,0.4135,20.04
[64],4,relu,6e-06,0.6576,0.6848,0.4208,14.58
[128],16,tanh,0.000342,0.6461,0.6803,0.4129,12.82
[64],32,relu,5e-06,0.6467,0.68,0.4318,18.2
[32],8,relu,2e-06,0.6621,0.6942,0.4111,17.48
[128],32,relu,4e-06,0.6423,0.6747,0.4208,7.89
[64],32,tanh,0.000335,0.6418,0.6756,0.4145,18.1
[64],4,tanh,0.000314,0.6464,0.676,0.4217,26.16
[128],32,tanh,0.000553,0.64,0.6741,0.4147,12.88
[32],8,tanh,0.000213,0.6514,0.6826,0.4187,21.21
[128],4,relu,3e-06,0.6509,0.6822,0.4174,12.93
[32],16,relu,1.3e-05,0.6644,0.6934,0.4163,9.61
[64],8,relu,4e-06,0.6625,0.6907,0.4223,14.97
[128],4,tanh,0.000591,0.6565,0.6842,0.4226,12.59
[32],16,tanh,0.000389,0.6434,0.6781,0.4127,16.04
[64],8,tanh,0.000331,0.628,0.6661,0.4215,15.71
"[32, 16]",4,relu,6e-06,0.6614,0.6881,0.4225,19.67
"[32, 16]",32,relu,7e-06,0.6295,0.668,0.4107,15.1
"[32, 16]",32,tanh,0.000623,0.6468,0.6813,0.4148,17.05
"[32, 16]",4,tanh,0.00057,0.6531,0.6816,0.4237,18.94
"[64, 32]",4,relu,5.1e-05,0.6632,0.69,0.4216,7.3
"[32, 16]",8,relu,1e-05,0.6589,0.6862,0.4233,13.56
"[64, 32]",16,relu,9e-06,0.6568,0.6864,0.4172,13.75
"[64, 32]",4,tanh,0.000116,0.6572,0.6847,0.4223,30.29
"[128, 64]",8,relu,6e-06,0.6472,0.6783,0.4213,14.41
"[32, 16]",8,tanh,0.00088,0.5996,0.6518,0.4284,14.35
"[64, 32]",16,tanh,0.00086,0.6554,0.6882,0.4141,12.75
"[32, 16]",16,relu,5e-06,0.6611,0.6918,0.422,21.85
"[64, 32]",32,relu,2.2e-05,0.6483,0.6804,0.4183,7.07
"[64, 32]",8,relu,5e-06,0.6028,0.651,0.4208,17.48
"[128, 64]",8,tanh,0.000457,0.6657,0.6915,0.4229,25.5
"[64, 32]",32,tanh,0.000722,0.6478,0.6781,0.4209,14.09
"[32, 16]",16,tanh,0.000538,0.6491,0.6828,0.4125,15.17
"[128, 64]",16,relu,9e-06,0.6679,0.6931,0.4211,11.12
"[64, 32]",8,tanh,0.000596,0.6091,0.6598,0.429,18.02
"[128, 64]",4,relu,2e-05,0.6589,0.6869,0.4203,9.97
"[128, 64]",16,tanh,0.000402,0.6534,0.6818,0.4229,19.51
"[128, 64]",32,relu,6e-06,0.6465,0.6781,0.4213,10.27
"[128, 64]",4,tanh,0.000462,0.6517,0.6802,0.4218,27.36
"[128, 64]",32,tanh,0.001469,0.6588,0.6893,0.4171,10.22
"[32, 16, 8]",4,relu,3e-05,0.6564,0.6842,0.4231,14.32
"[32, 16, 8]",4,tanh,0.001375,0.6592,0.6878,0.4206,16.71
"[32, 16, 8]",32,relu,1.9e-05,0.6466,0.678,0.4277,12.02
"[64, 32, 16]",16,relu,1.5e-05,0.6547,0.6857,0.4169,20.15
"[32, 16, 8]",32,tanh,0.000875,0.6568,0.6848,0.422,13.89
"[32, 16, 8]",8,relu,3e-05,0.6463,0.682,0.4339,15.46
"[128, 64, 32]",8,relu,1e-05,0.6338,0.6693,0.4159,21.26
"[64, 32, 16]",4,relu,1.3e-05,0.6539,0.6821,0.4227,16.01
"[64, 32, 16]",16,tanh,0.000689,0.6539,0.6836,0.4206,18.3
"[32, 16, 8]",8,tanh,0.000728,0.6656,0.6915,0.4236,20.83
"[64, 32, 16]",4,tanh,0.001077,0.6517,0.6804,0.4229,12.84
"[64, 32, 16]",32,relu,1.2e-05,0.6566,0.6845,0.4239,12.44
"[128, 64, 32]",8,tanh,0.000928,0.6101,0.659,0.4458,12.16
"[32, 16, 8]",16,relu,8e-06,0.6629,0.6904,0.419,15.24
"[64, 32, 16]",8,relu,2.1e-05,0.6274,0.6684,0.442,10.24
"[128, 64, 32]",16,relu,1e-05,0.6554,0.6848,0.4187,12.32
"[64, 32, 16]",32,tanh,0.00068,0.6508,0.6823,0.419,16.78
"[128, 64, 32]",4,relu,1.8e-05,0.6595,0.6866,0.4222,9.69
"[64, 32, 16]",8,tanh,0.000505,0.6593,0.6884,0.4202,19.77
"[32, 16, 8]",16,tanh,0.000344,0.6696,0.6951,0.4218,25.86
"[128, 64, 32]",16,tanh,0.000826,0.6518,0.6851,0.4133,20.98
"[128, 64, 32]",4,tanh,0.001458,0.65,0.679,0.4223,15.88
"[128, 64, 32]",32,relu,8e-06,0.6443,0.6757,0.4211,10.9
"[128, 64, 32]",32,tanh,0.000963,0.6507,0.683,0.4159,14.74
