hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[32],32,relu,2.1e-05,0.3975,0.4482,0.2117,112.4
[64],16,relu,3.7e-05,0.7191,0.602,0.1999,59.33
[32],4,relu,8e-06,0.7195,0.6021,0.2,99.66
[32],32,tanh,0.000358,0.6741,0.6269,0.2113,68.24
[32],4,tanh,0.000311,0.7148,0.609,0.2017,70.35
[64],16,tanh,8.6e-05,0.7194,0.6021,0.2,114.85
[64],4,relu,1e-05,0.7195,0.6021,0.2,99.7
[128],8,relu,2.3e-05,0.6316,0.5927,0.2073,61.01
[128],8,tanh,0.001086,0.7195,0.6021,0.2,68.89
[64],4,tanh,0.000251,0.7171,0.6056,0.2008,91.21
[32],8,relu,3e-06,0.7154,0.6089,0.2017,192.11
[64],32,relu,3.7e-05,0.6854,0.6141,0.2091,95.96
[128],16,relu,5.6e-05,0.6856,0.6276,0.21,107.8
[64],8,relu,1.8e-05,0.7195,0.6021,0.2,138.32
[64],32,tanh,0.000129,0.7195,0.6021,0.2,107.12
[32],8,tanh,4.3e-05,0.7195,0.6021,0.2,215.34
[128],16,tanh,0.000213,0.7189,0.6019,0.1999,97.27
[64],8,tanh,8.4e-05,0.7075,0.616,0.2037,133.04
[32],16,relu,5e-06,0.7143,0.6089,0.2016,111.97
[128],4,relu,5e-06,0.7195,0.6021,0.2,163.59
[128],32,relu,4.6e-05,0.6003,0.5701,0.1965,60.06
[32],16,tanh,8.7e-05,0.7186,0.6017,0.1998,89.52
[128],4,tanh,0.000147,0.7195,0.6021,0.2,146.53
[128],32,tanh,0.001149,0.702,0.6206,0.2055,71.06
"[32, 16]",4,relu,5.5e-05,0.7193,0.6027,0.2002,110.52
"[32, 16]",4,tanh,9.8e-05,0.7121,0.612,0.2025,170.94
"[32, 16]",8,relu,0.000131,0.7195,0.6021,0.2,96.1
"[32, 16]",8,tanh,0.000214,0.7195,0.6021,0.2,77.58
"[32, 16]",32,relu,4.7e-05,0.7078,0.6171,0.2041,103.02
"[64, 32]",16,relu,7.3e-05,0.5066,0.508,0.2021,73.84
"[32, 16]",32,tanh,0.000163,0.7108,0.614,0.2031,122.31
"[32, 16]",16,relu,2.8e-05,0.7031,0.6201,0.2053,89.5
"[64, 32]",16,tanh,0.000586,0.6963,0.624,0.2072,105.64
"[64, 32]",4,relu,3.4e-05,0.7195,0.6021,0.2,92.47
"[32, 16]",16,tanh,0.000193,0.6476,0.581,0.2176,120.22
"[64, 32]",4,tanh,0.000375,0.7148,0.6088,0.2016,76.65
"[64, 32]",32,relu,0.000129,0.4263,0.4716,0.2385,87.69
"[64, 32]",8,relu,2.9e-05,0.6934,0.6248,0.2077,73.12
"[128, 64]",8,relu,5.4e-05,0.7195,0.6021,0.2,318.55
"[64, 32]",32,tanh,0.000367,0.7114,0.6134,0.2029,120.59
"[64, 32]",8,tanh,0.000463,0.7128,0.6106,0.2021,85.05
"[128, 64]",8,tanh,0.000658,0.7164,0.6058,0.2008,100.86
"[128, 64]",4,relu,6.1e-05,0.7192,0.6026,0.2001,121.02
"[128, 64]",16,relu,0.000142,0.7195,0.6021,0.2,91.0
"[128, 64]",4,tanh,0.001001,0.7134,0.6111,0.2022,101.78
"[128, 64]",16,tanh,0.000476,0.7091,0.6155,0.2036,114.09
"[128, 64]",32,relu,0.00017,0.5076,0.5485,0.2401,78.21
"[128, 64]",32,tanh,0.001191,0.696,0.6209,0.2057,103.89
"[32, 16, 8]",4,relu,0.000317,0.7195,0.6021,0.2,133.95
"[32, 16, 8]",32,relu,6e-05,0.5637,0.5634,0.218,107.89
"[32, 16, 8]",4,tanh,0.000203,0.7195,0.6021,0.2,198.44
"[32, 16, 8]",32,tanh,0.000283,0.7195,0.6021,0.2,131.7
"[32, 16, 8]",8,relu,3.4e-05,0.7176,0.6055,0.2008,215.58
"[64, 32, 16]",4,relu,8.6e-05,0.6952,0.624,0.2073,81.05
"[64, 32, 16]",4,tanh,0.002468,0.7111,0.6134,0.2029,89.41
"[32, 16, 8]",8,tanh,0.000133,0.7126,0.6102,0.2019,127.71
"[64, 32, 16]",8,relu,0.000164,0.711,0.6135,0.2029,69.66
"[32, 16, 8]",16,relu,0.000198,0.6685,0.6279,0.2133,60.79
"[64, 32, 16]",8,tanh,0.000646,0.7195,0.6021,0.2,94.95
"[64, 32, 16]",16,relu,0.000158,0.7195,0.6021,0.2,101.38
"[32, 16, 8]",16,tanh,0.000564,0.7195,0.6021,0.2,88.8
"[64, 32, 16]",16,tanh,0.000522,0.7188,0.6019,0.1998,182.17
"[64, 32, 16]",32,relu,0.000181,0.715,0.606,0.2007,86.99
"[64, 32, 16]",32,tanh,0.00056,0.6884,0.5975,0.2093,90.85
"[128, 64, 32]",4,relu,0.000633,0.7167,0.6059,0.2008,119.75
"[128, 64, 32]",8,relu,0.000242,0.7131,0.6111,0.2022,124.03
"[128, 64, 32]",4,tanh,0.000463,0.7157,0.6067,0.201,163.1
"[128, 64, 32]",8,tanh,0.002057,0.7195,0.6021,0.2,85.14
"[128, 64, 32]",16,relu,0.000603,0.696,0.6226,0.2065,184.95
"[128, 64, 32]",16,tanh,0.002147,0.7016,0.6218,0.206,85.97
"[128, 64, 32]",32,relu,0.00043,0.7195,0.6021,0.2,172.28
"[128, 64, 32]",32,tanh,0.001688,0.7195,0.6021,0.2,103.94
