hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,3e-06,0.3964,0.4802,0.2685,65.52
[128],8,relu,1e-06,0.4397,0.5118,0.2708,127.11
[32],4,relu,2e-06,0.4108,0.4918,0.2741,68.9
[32],32,relu,0.0,0.3624,0.4538,0.2696,115.93
[64],16,tanh,5e-06,0.3953,0.4756,0.2642,194.51
[32],4,tanh,9e-06,0.3966,0.4813,0.2769,105.59
[128],8,tanh,8e-06,0.412,0.4902,0.2724,187.77
[32],32,tanh,7e-06,0.3645,0.4577,0.2743,66.49
[64],32,relu,6e-06,0.3755,0.4592,0.2625,82.5
[32],8,relu,0.0,0.4253,0.5022,0.2738,86.36
[128],16,relu,1e-06,0.4021,0.4814,0.2945,88.25
[64],4,relu,0.013879,0.3458,0.4352,0.2651,271.45
[32],8,tanh,8e-06,0.3794,0.4646,0.2719,183.32
[64],32,tanh,4e-06,0.4122,0.4918,0.2721,230.62
[128],16,tanh,1.7e-05,0.3984,0.4789,0.2676,107.82
[64],4,tanh,1.1e-05,0.419,0.4979,0.2717,102.63
[32],16,relu,0.0,0.3776,0.465,0.2638,131.5
[128],32,relu,6e-06,0.3959,0.4777,0.2712,120.05
[128],4,relu,5e-06,0.4282,0.5038,0.2698,123.65
[64],8,relu,0.0,0.4088,0.4902,0.2711,143.04
[128],4,tanh,2.9e-05,0.391,0.4747,0.2783,68.22
[32],16,tanh,1e-05,0.4081,0.4866,0.2659,81.01
[128],32,tanh,6e-06,0.4175,0.4956,0.2695,161.34
[64],8,tanh,8e-06,0.4155,0.4956,0.2739,117.79
"[32, 16]",4,relu,5e-06,0.3899,0.4757,0.2746,100.45
"[32, 16]",4,tanh,1.1e-05,0.3989,0.4829,0.2768,152.89
"[32, 16]",32,relu,1e-06,0.3986,0.4835,0.2655,183.68
"[64, 32]",16,relu,1.2e-05,0.394,0.4792,0.2729,116.6
"[32, 16]",8,relu,0.0,0.4021,0.4841,0.2702,216.67
"[32, 16]",32,tanh,7e-06,0.3998,0.48,0.2636,122.33
"[32, 16]",8,tanh,2.2e-05,0.4062,0.4874,0.279,86.72
"[64, 32]",16,tanh,1.8e-05,0.4327,0.5041,0.2704,107.71
"[128, 64]",8,relu,6e-06,0.4012,0.4838,0.27,235.26
"[32, 16]",16,relu,0.0,0.4152,0.4915,0.2701,156.1
"[64, 32]",4,relu,1.1e-05,0.4223,0.4984,0.2731,177.85
"[64, 32]",32,relu,1e-06,0.4069,0.4886,0.2737,261.99
"[128, 64]",8,tanh,1.4e-05,0.4101,0.491,0.2758,177.01
"[32, 16]",16,tanh,8e-06,0.4087,0.4875,0.2671,150.54
"[64, 32]",4,tanh,1.5e-05,0.4026,0.4862,0.2737,137.19
"[64, 32]",32,tanh,1e-05,0.4022,0.4848,0.2742,250.38
"[128, 64]",16,relu,2.7e-05,0.3717,0.4613,0.2702,119.67
"[64, 32]",8,relu,2e-06,0.4208,0.4979,0.2709,125.34
"[128, 64]",16,tanh,3.2e-05,0.4063,0.4851,0.2662,102.45
"[128, 64]",4,relu,1e-05,0.3708,0.4596,0.2749,146.05
"[128, 64]",32,relu,9e-06,0.4184,0.4971,0.2722,126.95
"[64, 32]",8,tanh,9e-06,0.38,0.465,0.2688,220.38
"[128, 64]",4,tanh,1e-05,0.4105,0.4884,0.269,232.63
"[128, 64]",32,tanh,1.4e-05,0.4072,0.4865,0.2622,163.57
"[32, 16, 8]",4,relu,4e-06,0.4449,0.5167,0.2738,147.78
"[32, 16, 8]",32,relu,1e-06,0.4073,0.4896,0.2757,189.07
"[32, 16, 8]",4,tanh,2.3e-05,0.3676,0.457,0.2718,157.56
"[32, 16, 8]",32,tanh,2.1e-05,0.4097,0.4906,0.2701,194.42
"[64, 32, 16]",16,relu,3e-06,0.3971,0.4758,0.2647,165.98
"[32, 16, 8]",8,relu,0.014947,0.386,0.4675,0.2574,299.01
"[64, 32, 16]",4,relu,0.012781,0.3531,0.4421,0.2649,170.98
"[32, 16, 8]",8,tanh,2.4e-05,0.4064,0.4876,0.2707,139.79
"[64, 32, 16]",4,tanh,2.3e-05,0.4083,0.4908,0.2757,212.91
"[64, 32, 16]",16,tanh,1.1e-05,0.4099,0.4864,0.2618,377.94
"[64, 32, 16]",8,relu,1e-05,0.4211,0.4988,0.2771,137.07
"[32, 16, 8]",16,relu,2e-06,0.3948,0.4775,0.2673,170.93
"[64, 32, 16]",32,relu,8e-06,0.3678,0.4533,0.2631,201.87
"[32, 16, 8]",16,tanh,3.6e-05,0.3987,0.4778,0.2615,72.31
"[128, 64, 32]",8,relu,5.3e-05,0.4252,0.5015,0.2726,106.99
"[64, 32, 16]",8,tanh,1.5e-05,0.4236,0.5011,0.2755,255.95
"[64, 32, 16]",32,tanh,2.3e-05,0.4205,0.4974,0.2715,130.78
"[128, 64, 32]",8,tanh,3.4e-05,0.4133,0.4934,0.2738,149.75
"[128, 64, 32]",4,relu,1.9e-05,0.4229,0.4997,0.2695,343.81
"[128, 64, 32]",16,relu,1.5e-05,0.437,0.5105,0.2737,269.23
"[128, 64, 32]",4,tanh,6e-05,0.3941,0.4774,0.2757,134.28
"[128, 64, 32]",16,tanh,1.7e-05,0.4088,0.4865,0.2705,244.31
"[128, 64, 32]",32,relu,2.4e-05,0.3405,0.4297,0.2707,227.28
"[128, 64, 32]",32,tanh,2.3e-05,0.4288,0.5051,0.2742,219.17
