hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[64],16,relu,2e-06,0.4068,0.4951,0.2961,83.41
[128],8,relu,2e-06,0.4028,0.4892,0.3245,109.21
[32],4,relu,0.004705,0.3974,0.4851,0.2966,195.33
[32],32,relu,0.0,0.4093,0.4931,0.2874,172.95
[64],16,tanh,2.9e-05,0.4039,0.4901,0.298,82.69
[32],32,tanh,1.6e-05,0.3969,0.4872,0.2957,88.52
[128],8,tanh,4.5e-05,0.3999,0.4893,0.294,137.42
[32],4,tanh,0.005415,0.3897,0.4779,0.2913,263.84
[64],32,relu,1e-06,0.4165,0.502,0.293,102.94
[64],4,relu,0.003685,0.3813,0.4721,0.293,274.6
[128],16,relu,2e-06,0.401,0.486,0.2845,137.23
[64],32,tanh,1.6e-05,0.4345,0.5105,0.2839,160.97
[32],8,relu,0.0,0.3733,0.4663,0.2929,138.51
[64],4,tanh,0.005799,0.3893,0.4793,0.2931,276.01
[128],16,tanh,1.6e-05,0.4098,0.4928,0.2896,239.06
[128],4,relu,0.003634,0.385,0.4747,0.2965,245.36
[32],8,tanh,2.1e-05,0.4222,0.5056,0.2933,192.94
[64],8,relu,1e-06,0.4182,0.499,0.292,129.54
[128],32,relu,1e-06,0.4177,0.501,0.3255,172.32
[32],16,relu,1e-06,0.4207,0.5033,0.291,92.16
[128],4,tanh,0.006266,0.3927,0.4816,0.2894,304.67
[128],32,tanh,2.8e-05,0.3863,0.4742,0.2918,172.73
[32],16,tanh,4.7e-05,0.378,0.4723,0.297,63.09
[64],8,tanh,2.1e-05,0.3951,0.4827,0.2901,174.67
"[32, 16]",4,relu,0.003332,0.3852,0.4748,0.2918,144.98
"[32, 16]",32,relu,1e-06,0.4115,0.4992,0.2971,129.46
"[64, 32]",16,relu,2e-06,0.386,0.4768,0.2941,188.91
"[128, 64]",8,relu,2.3e-05,0.3974,0.4841,0.2912,146.1
"[32, 16]",4,tanh,0.003837,0.3776,0.4677,0.294,293.31
"[32, 16]",32,tanh,3.5e-05,0.3977,0.4862,0.2939,164.29
"[64, 32]",16,tanh,4e-05,0.408,0.4912,0.2869,171.14
"[128, 64]",8,tanh,4.4e-05,0.4069,0.4901,0.292,213.82
"[32, 16]",8,relu,0.0,0.3917,0.4806,0.2948,151.53
"[64, 32]",4,relu,0.003764,0.4036,0.4898,0.2917,258.83
"[64, 32]",32,relu,2e-06,0.3936,0.484,0.2894,107.61
"[32, 16]",8,tanh,5.2e-05,0.3851,0.4774,0.3284,134.32
"[64, 32]",32,tanh,4e-05,0.3753,0.4645,0.2875,110.03
"[128, 64]",16,relu,2e-06,0.3582,0.4518,0.3221,291.48
"[32, 16]",16,relu,1e-06,0.3915,0.4773,0.282,156.68
"[64, 32]",4,tanh,0.003428,0.3834,0.4755,0.2915,394.93
"[32, 16]",16,tanh,4.9e-05,0.3981,0.4866,0.2961,87.6
"[128, 64]",16,tanh,2.3e-05,0.4002,0.4875,0.2924,230.69
"[128, 64]",4,relu,0.001766,0.4052,0.4869,0.3241,307.61
"[64, 32]",8,relu,3e-06,0.375,0.4692,0.3258,114.73
"[64, 32]",8,tanh,3.1e-05,0.3495,0.4442,0.2927,257.23
"[128, 64]",32,relu,1e-05,0.3926,0.4812,0.321,275.48
"[128, 64]",4,tanh,0.003601,0.3846,0.4769,0.2925,355.42
"[128, 64]",32,tanh,4.6e-05,0.4065,0.494,0.2974,233.39
"[32, 16, 8]",4,relu,0.003178,0.3811,0.4735,0.2944,185.43
"[32, 16, 8]",4,tanh,0.003172,0.3908,0.4801,0.2942,374.49
"[32, 16, 8]",32,relu,8e-06,0.3956,0.4825,0.2908,148.44
"[32, 16, 8]",32,tanh,4.8e-05,0.3876,0.4795,0.2966,215.21
"[32, 16, 8]",8,relu,5e-06,0.3954,0.4829,0.3257,191.71
"[64, 32, 16]",16,relu,3e-06,0.4102,0.4941,0.2905,250.55
"[64, 32, 16]",4,relu,0.002646,0.3863,0.4777,0.2935,227.9
"[64, 32, 16]",16,tanh,6.3e-05,0.401,0.4859,0.2934,133.77
"[32, 16, 8]",8,tanh,9.4e-05,0.3872,0.4784,0.3278,224.33
"[64, 32, 16]",4,tanh,0.004684,0.3841,0.4757,0.2899,203.09
"[64, 32, 16]",32,relu,7e-06,0.3987,0.4878,0.2931,180.55
"[32, 16, 8]",16,relu,2.7e-05,0.4138,0.4971,0.2925,78.22
"[128, 64, 32]",8,relu,1.1e-05,0.3928,0.482,0.2948,251.58
"[64, 32, 16]",8,relu,1.4e-05,0.3738,0.466,0.2956,121.48
"[32, 16, 8]",16,tanh,5.9e-05,0.3914,0.482,0.2953,149.29
"[128, 64, 32]",8,tanh,8.6e-05,0.3963,0.4852,0.3303,136.01
"[64, 32, 16]",32,tanh,7.3e-05,0.429,0.5059,0.2908,171.3
"[64, 32, 16]",8,tanh,7.7e-05,0.4108,0.4916,0.2869,114.18
"[128, 64, 32]",4,relu,0.003775,0.3947,0.4814,0.2922,155.12
"[128, 64, 32]",16,relu,8e-06,0.4229,0.5041,0.2935,350.25
"[128, 64, 32]",4,tanh,0.003862,0.3874,0.4784,0.2937,196.75
"[128, 64, 32]",16,tanh,0.000107,0.3774,0.4714,0.3012,136.04
"[128, 64, 32]",32,relu,3.9e-05,0.3798,0.4721,0.2908,172.79
"[128, 64, 32]",32,tanh,4.8e-05,0.4055,0.4933,0.2987,244.95
