hidden_sizes,latent_dim,activation,val_loss,test_accuracy,test_f1,test_bal_acc,train_time_sec
[32],4,relu,1e-06,0.3802,0.4421,0.2123,98.44
[64],16,relu,3e-06,0.3526,0.4056,0.2095,84.48
[32],32,relu,4e-06,0.3139,0.3965,0.2121,81.92
[128],8,relu,1e-06,0.3971,0.4457,0.2134,123.15
[32],4,tanh,4e-06,0.4412,0.4946,0.2089,162.2
[64],16,tanh,1e-06,0.4412,0.4697,0.2083,262.09
[32],32,tanh,4e-06,0.4879,0.4997,0.2074,72.9
[32],8,relu,1e-06,0.4083,0.4614,0.2109,101.76
[128],8,tanh,2e-06,0.39,0.4598,0.2075,230.86
[64],4,relu,3e-06,0.4862,0.4976,0.2079,66.82
[64],32,relu,1e-06,0.4335,0.471,0.2116,152.66
[64],4,tanh,2.3e-05,0.2404,0.312,0.2139,54.1
[128],16,relu,2e-06,0.4734,0.4903,0.2095,136.65
[64],32,tanh,2e-06,0.4689,0.4887,0.2074,116.89
[32],8,tanh,1e-06,0.4195,0.4824,0.209,140.45
[64],8,relu,1e-06,0.4134,0.4765,0.211,113.89
[128],4,relu,1e-06,0.5547,0.5357,0.2075,123.86
[32],16,relu,2e-06,0.414,0.4549,0.2099,95.36
[128],16,tanh,1.2e-05,0.4306,0.4833,0.2082,128.24
[64],8,tanh,8e-06,0.3856,0.4523,0.2096,112.12
[32],16,tanh,2e-06,0.2739,0.3483,0.2133,115.93
[128],4,tanh,7e-06,0.4851,0.5083,0.207,176.25
[128],32,relu,1e-06,0.3603,0.4321,0.2127,149.55
[128],32,tanh,3e-06,0.5353,0.5395,0.2088,130.93
"[32, 16]",4,relu,1e-06,0.5116,0.5235,0.2127,140.26
"[32, 16]",4,tanh,5e-06,0.4161,0.4534,0.2098,157.61
"[32, 16]",8,relu,5e-06,0.3829,0.436,0.2132,93.56
"[32, 16]",32,relu,3e-06,0.5509,0.5361,0.2097,92.65
"[32, 16]",8,tanh,2e-06,0.5298,0.535,0.2105,227.54
"[64, 32]",16,relu,1.2e-05,0.3971,0.4595,0.2089,93.81
"[32, 16]",32,tanh,1.1e-05,0.348,0.4035,0.2072,87.57
"[64, 32]",16,tanh,6e-06,0.3739,0.4242,0.2064,182.05
"[32, 16]",16,relu,1e-06,0.3972,0.4605,0.2116,207.52
"[128, 64]",8,relu,4e-06,0.3733,0.4449,0.2094,157.28
"[64, 32]",4,relu,1e-06,0.5094,0.5292,0.2077,197.5
"[32, 16]",16,tanh,2e-06,0.3225,0.38,0.2097,120.29
"[64, 32]",32,relu,7e-06,0.4403,0.478,0.2103,103.18
"[128, 64]",8,tanh,3e-06,0.4823,0.5078,0.2068,240.36
"[64, 32]",4,tanh,6e-06,0.4695,0.508,0.2085,158.8
"[64, 32]",32,tanh,1e-06,0.4414,0.4715,0.2099,270.83
"[128, 64]",16,relu,2.1e-05,0.362,0.4311,0.2127,110.5
"[64, 32]",8,relu,6e-06,0.3774,0.4463,0.2104,153.89
"[128, 64]",16,tanh,1.2e-05,0.3171,0.3758,0.2102,127.06
"[128, 64]",4,relu,3e-06,0.3696,0.4311,0.2116,145.87
"[64, 32]",8,tanh,8e-06,0.481,0.5079,0.207,180.95
"[128, 64]",4,tanh,1e-05,0.5115,0.5213,0.2072,125.48
"[128, 64]",32,relu,4e-06,0.3746,0.4397,0.2135,192.77
"[128, 64]",32,tanh,3e-06,0.4011,0.4612,0.2112,270.27
"[32, 16, 8]",4,relu,5e-06,0.4078,0.465,0.2139,109.98
"[32, 16, 8]",32,relu,3e-06,0.4401,0.4712,0.2091,181.7
"[32, 16, 8]",4,tanh,5e-06,0.4786,0.4932,0.2083,152.47
"[32, 16, 8]",8,relu,9e-06,0.4603,0.5024,0.2099,80.9
"[32, 16, 8]",32,tanh,2e-06,0.4774,0.4927,0.2081,299.09
"[64, 32, 16]",4,relu,7e-06,0.4151,0.4719,0.2131,101.83
"[32, 16, 8]",8,tanh,2.4e-05,0.374,0.4273,0.2123,132.35
"[32, 16, 8]",16,relu,2e-06,0.4214,0.4592,0.2074,179.08
"[64, 32, 16]",4,tanh,2e-06,0.284,0.3557,0.2122,322.58
"[64, 32, 16]",16,relu,1e-06,0.4421,0.4792,0.2074,377.37
"[32, 16, 8]",16,tanh,3e-06,0.3524,0.4051,0.2082,246.81
"[64, 32, 16]",8,relu,7e-06,0.3981,0.464,0.2129,183.71
"[64, 32, 16]",8,tanh,1.2e-05,0.2714,0.3417,0.2127,70.74
"[64, 32, 16]",16,tanh,1e-06,0.4288,0.4702,0.2085,364.51
"[64, 32, 16]",32,relu,1e-05,0.413,0.4543,0.2108,113.61
"[128, 64, 32]",8,relu,3e-06,0.3861,0.4464,0.2106,144.17
"[64, 32, 16]",32,tanh,3e-06,0.1889,0.2416,0.2112,152.11
"[128, 64, 32]",8,tanh,5e-06,0.4378,0.4733,0.212,144.77
"[128, 64, 32]",4,relu,2e-06,0.4955,0.5195,0.2089,218.01
"[128, 64, 32]",4,tanh,1.8e-05,0.5339,0.5379,0.2079,88.42
"[128, 64, 32]",16,relu,5e-06,0.4435,0.474,0.2106,209.94
"[128, 64, 32]",16,tanh,9e-06,0.3608,0.42,0.2095,211.5
"[128, 64, 32]",32,relu,4e-06,0.4469,0.4791,0.2149,223.83
"[128, 64, 32]",32,tanh,5e-06,0.4175,0.4582,0.2103,168.29
